client_id,round_number,hierarchy,num_samples,set,bytes_written,bytes_read,local_computations
f3122_40,0,,8,train,26310776,26310776,0
f2062_39,0,,137,train,26310776,26310776,0
f0188_36,0,,402,train,26310776,26310776,0
f2083_33,0,,159,train,26310776,26310776,0
f1197_00,0,,80,train,26310776,26310776,0
f1859_39,0,,108,train,26310776,26310776,0
f1211_04,0,,379,train,26310776,26310776,0
f3679_06,0,,177,train,26310776,26310776,0
f0648_23,0,,378,train,26310776,26310776,0
f3839_11,0,,153,train,26310776,26310776,0
f0312_43,1,,417,train,26310776,26310776,0
f3220_48,1,,179,train,26310776,26310776,0
f1780_04,1,,108,train,26310776,26310776,0
f3505_39,1,,181,train,26310776,26310776,0
f0893_25,1,,361,train,26310776,26310776,0
f2287_60,1,,174,train,26310776,26310776,0
f1031_37,1,,362,train,26310776,26310776,0
f0602_16,1,,352,train,26310776,26310776,0
f0120_29,1,,302,train,26310776,26310776,0
f0662_29,1,,313,train,26310776,26310776,0
